iter	Logloss
0	0.668186041
1	0.6355767617
2	0.6003627044
3	0.5819219443
4	0.564425982
5	0.5469068014
6	0.5309349207
7	0.511324369
8	0.5010427695
9	0.4873395333
10	0.4760621144
11	0.4591949169
12	0.4457594798
13	0.4376409971
14	0.423470057
15	0.4140947782
16	0.401541013
17	0.3935937881
18	0.3810672026
19	0.368617498
20	0.3602337104
21	0.3496844585
22	0.3398558543
23	0.3301697511
24	0.3247272785
25	0.317278862
26	0.3095755944
27	0.3016898449
28	0.2920143421
29	0.2835621284
30	0.2782373979
31	0.2713021132
32	0.2651293278
33	0.2565807196
34	0.2511466833
35	0.2460093315
36	0.2399648153
37	0.2332582657
38	0.2278612577
39	0.2225177105
40	0.2158968265
41	0.2112535147
42	0.2077654325
43	0.2024433429
44	0.1990125179
45	0.1949075552
46	0.1923999053
47	0.18906166
48	0.185481695
49	0.1820316315
50	0.1787228584
51	0.1755974476
52	0.1725339523
53	0.1712685915
54	0.1683021509
55	0.1664533615
56	0.1636634056
57	0.1597588979
58	0.1561053716
59	0.1525475795
60	0.149417272
61	0.1464818074
62	0.1428311788
63	0.1406147939
64	0.1373937772
65	0.1350048597
66	0.1322146562
67	0.1274852019
68	0.1235396128
69	0.1218395692
70	0.1197684361
71	0.1160624394
72	0.1144883082
73	0.1127602596
74	0.110435981
75	0.1089486892
76	0.107389285
77	0.1054451832
78	0.103964879
79	0.1017576823
80	0.1002543339
81	0.09835448632
82	0.09639533666
83	0.09548881421
84	0.09396106463
85	0.09168367202
86	0.09054930394
87	0.08842005179
88	0.08701366645
89	0.08610510826
90	0.08506874855
91	0.08290787844
92	0.08172877018
93	0.0806611593
94	0.07836649968
95	0.07713508606
96	0.07542700951
97	0.07432822539
98	0.0728122271
99	0.07197300287
