iter	Passed	Remaining
0	7	725
1	12	631
2	18	613
3	23	552
4	27	524
5	46	721
6	50	670
7	57	656
8	63	638
9	66	600
10	71	579
11	74	548
12	77	518
13	79	490
14	81	463
15	83	440
16	86	422
17	88	404
18	93	400
19	101	404
20	104	393
21	108	384
22	111	372
23	114	362
24	119	357
25	122	348
26	126	341
27	129	332
28	131	323
29	135	315
30	139	309
31	142	301
32	145	296
33	148	288
34	151	281
35	154	274
36	156	267
37	160	261
38	162	254
39	167	250
40	170	245
41	173	239
42	175	232
43	180	229
44	183	224
45	185	218
46	188	212
47	190	206
48	194	202
49	197	197
50	200	192
51	203	188
52	206	183
53	209	178
54	213	174
55	216	170
56	219	165
57	221	160
58	224	155
59	228	152
60	238	152
61	241	148
62	243	143
63	245	138
64	247	133
65	250	129
66	256	126
67	258	121
68	261	117
69	264	113
70	267	109
71	269	104
72	275	101
73	277	97
74	281	93
75	284	89
76	286	85
77	289	81
78	291	77
79	294	73
80	299	70
81	302	66
82	305	62
83	307	58
84	311	55
85	315	51
86	317	47
87	319	43
88	322	39
89	325	36
90	329	32
91	333	29
92	336	25
93	339	21
94	342	18
95	347	14
96	349	10
97	354	7
98	356	3
99	361	0
